name,description,date,views,comments
10 сайтов с необычным дизайном,"Подборка сайтов с современным дизайном — нетипичной версткой и анимацией, футуристичными элементами и 3D-графикой.",25 февраля 2019,44380,1
Идеальный код на Python,"Разбор ошибок с деканом факультета GeekUniversity

",22 февраля 2019,106322,13
А/В-тестирование лендингов,"Проведите тесты, чтобы найти способ получать больше заказов.",21 февраля 2019,10526,3
«Рекрутеры не дают прохода» — история веб-разработчика,История победителя конкурса от GeekBrains на бесплатное обучение Frontend. Путь: бизнес — тестирование — fullstack-разработка на JS,19 февраля 2019,12897,32
Чем заняться на досуге: настолки ,Подобрали восемь настолок для настоящих гиков,18 февраля 2019,7484,5
Как проявляется «профдеформация» программиста,"Об особом отношении к быту, гиперконцентрации, мышлении алгоритмами и умении удивлять вторую половинку.",15 февраля 2019,20671,34
О стажировке и учебе в GeekBrains,"Рассказывает веб-разработчик из Нижнего Новгорода, в прошлом — разработчик Java и C#, аналитик данных.",14 февраля 2019,15217,14
Отражение «Черного зеркала»: что просочилось в реальность,"Сериал о технологиях вдохновляется реальными разработками, а программисты черпают идеи у сценаристов.",13 февраля 2019,30773,4
С Дня карьеры в «Альфа-Банк»: история студента GU,Интервью с Java-разработчиком Иваном Жаданом.,08 февраля 2019,12663,12
Методологии разработки ПО: Agile,Продолжаем цикл статей о методологиях разработки программного обеспечения,07 февраля 2019,59799,20
Реферальная программа GeekBrains: как все устроено? ,"Рассказываем, как стать нашим партнером и заработать с GeekBrains",07 февраля 2019,18404,84
"На что смотрят работодатели, когда оценивают ваш код","Собеседования — стресс. Даже для профессиональных разработчиков, написавших тысячи строк коммерческого кода.",06 февраля 2019,37912,47
Большие данные и умные города: как подготовиться к будущему?,Зачем учиться работе с Big Data и открытыми API. Какое место они займут в умных городах.,01 февраля 2019,13671,0
Influencer Marketing в России: рассказывают эксперты,Airtarget и Insense об influencer marketing в России.,31 января 2019,17487,6
Из юристов в программисты,"Игорь Разумов, выпускник факультета Android-разработки, рассказал GeekBrains, как начать карьеру в IT, имея юридическое образование.",29 января 2019,46328,44
#КОГОУБИВАТЬ: фильм об информационной свободе,Короткометражка о свободе и личной ответственности в интернете,28 января 2019,7629,12
Где попрактиковаться в программировании: 30 ресурсов,"Задачки, упражнения и соревнования для начинающих и опытных кодеров.",28 января 2019,191481,38
Киберспорт как бизнес и профессия,"Когда киберспорт перерос из развлечения в бизнес? Можно ли развиваться в профессии, если не умеешь играть? Есть ли допинг в киберспорте?",25 января 2019,40944,4
8 типичных ошибок дизайнера в общении с клиентом,"«Полюби клиента своего, и он посоветует тебя знакомым», — гласит старая дизайнерская мудрость.",24 января 2019,13866,10
Все о YouTube. Часть 3: как раскрутить канал,"Про ключевики, активность первых суток и вовлечение зрителей",22 января 2019,13108,0
"10 фильмов, мотивирующих учиться","Прокрастинировать нужно правильно. Если совсем лень учиться, можно посмотреть вдохновляющий фильм. ",21 января 2019,204069,63
Итоги digital 2018: куда мы движемся,"О чем говорят Accenture, GlobalWebIndex, Fjord и Google.",17 января 2019,7521,6
Все о YouTube. Часть 2: как снимать видео,Советы экспертов про выбор оборудования и программ для монтажа.,16 января 2019,19345,0
11 приложений для тренировки ума,"Лучше решать задачи, стать эрудированнее, внимательнее и счастливее? И чтоб бесплатно, без таблеток и скуки? Помогут эти приложения.
",15 января 2019,65669,42
Что нового на факультете веб-разработки в GU,"Кто возглавляет факультет веб-разработки в GU, как обновляется учебная программа, какие проекты делают студенты.

",14 января 2019,7519,15
"Хочу сделать портфолио, но лень","Итак, в новый год вы хотите войти с обновленным портфолио. Но вместо того, чтобы сделать его, предпочитаете искать оправдания.",11 января 2019,17215,5
60+ Telegram-каналов для гиков,"Подобрали интересные авторские каналы об IT, науке и технологиях. Никаких топов, только секретная инфа.",09 января 2019,87665,30
Что можно успеть сделать за новогодние каникулы,"Подсказка: бесконечно много полезных дел.

",29 декабря 2018,39647,8
Итоги digital 2018: ситуация в отрасли,"Опросы агентств, рейтинги и обзоры зарплат",27 декабря 2018,14516,12
В гейм-дизайнеры с нуля. Часть 2,Программирование и отладка игры. Теория и полезные ссылки.,25 декабря 2018,17098,2
"Типичный SMM, или Как писать не надо","Не все то золото, что блестит, и не все те сммщики, что выкладывают посты.",22 декабря 2018,13583,11
Взгляд изнутри: как работается в «Альфа-Банке»,"Рассказывает Михаил Степнов, выпускник GeekUniversity и программист банка.",21 декабря 2018,36325,0
Как «защищать» свой дизайн перед клиентом,"Что делать, если клиент критикует дизайн, и как доказать преимущества вашего видения?",20 декабря 2018,12950,5
